INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'a1', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'a1', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'a2', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'a2', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'a3', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'a3', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'a3', '3')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'a4', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'a4', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm1', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm1', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm2', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm2', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm3', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm3', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm3', '3')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm3', '4')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm4', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm4', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm4', '3')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm5', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'gm5', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n1', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n1', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n1', '3')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n1', '4')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n1', '5')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n2', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n2', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n2', '3')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n2', '4')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n3', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n3', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n3', '3')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n4', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n4', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n4', '3')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n5', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 'n5', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 's1', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 's1', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 's1', '3')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 's2', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 's2', '2')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 's3', '1')
INFO:root:got a match in scheme/textbooks/camess7/support/contents :-] ('s7', 's3', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a1', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a1', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a2', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a2', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a3', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a3', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a4', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a4', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a5', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a5', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'a5', '3')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'gm1', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'gm1', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'gm2', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'gm2', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'gm3', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'gm3', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'gm3', '3')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'gm3', '4')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'gm4', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'gm4', '2')
