"scheme_id","unit_id","objective","question_number"
"E7","N5","Multiplying a fraction by an integer and an integer by a fraction without a diagram",
"E7","N5","Cancelling when multiplying a fraction by an integer",
"E7","N5","Multiplying an integer by a fraction and then by a second fraction",
"E7","N5","Recognising direct proportion",
"E7","N5","Calculating unknown values using direct proportion",
"E7","N5","The connection between direct proportion and graphs",
"E7","N5","Finding the equation connecting two quantities that are in direct proportion",
"E7","S2","Planning and conducting a survey",
"E7","S2","Conducting a mathematical experiment",
"E7","S2","Using an appropriate type of data for a given purpose",
"E7","S2","Using the results of a large number of trials",
"E7","S2","Using random numbers to simulate throwing a coin or dice",
"E7","S2","Estimating a probability",
"E7","GM5","Finding the order of rotation symmetry",
"E7","GM5","Connecting line symmetry and reflection",
"E7","GM5","Using a vector to describe a translation",
"E7","GM5","Combining rotations, reflections and translations",
"E7","GM5","Applying your knowledge to solve problems",
"E7","S3","Comparing data using charts",
"E7","S3","Comparing data using an average and the range",
"E7","S3","Understanding the limitations in using averages to compare data",
"E7","S3","Applying your knowledge of statistics to solve problems",
"E7","N4","Calculating a fraction of an amount",
"E7","N4","Calculating a percentage of an amount",
"E7","N4","Adding fractions",
"E7","N4","Subtracting fractions",
"E7","N4","Expressing a proportion as a fraction, decimal or percentage",
"E7","N4","Comparing proportions",
"E7","N4","Comparing two quantities using a ratio",
"E7","N4","Simplifying a ratio and sharing an amount in a given ratio",
"E7","GM4","Reflecting points and lines in a variety of mirror lines",
"E7","GM4","Describing a translation",
"E7","GM4","Applying a translation to a shape",
"E7","GM4","Using vectors to describe a translation",
"E7","GM4","Describing a rotation",
"E7","GM4","Rotating a shape using tracing paper",
"E7","GM4","Rotating a shape on a grid",
"E7","GM4","Mapping one point to another under a rotation",
"E7","A5","Finding expressions and formulae in a variety of situations",
"E7","A5","Interpreting information shown by a graph",
"E7","A5","Using an equation to represent a problem",
"E7","A5","Using the solution of an equation to sove a problem",
"E7","A4","Plotting and drawing the graph of an equation",
"E7","A4","Recognising the graph of an equation",
"E7","A4","Using a graph to convert one quantity into another",
"E7","A4","Using a graph to solve an equation",
"E7","A3","Simplifying algebraic expressions",
"E7","A3","Solving equations using inverse operations",
"E7","A3","Expanding brackets",
"E7","A3","Completing a mapping diagram",
"E7","A3","Using algebra to describe a mapping",
"E7","S1","Finding the mean, median and mode of some data",
"E7","S1","Choosing the best average to fit some data",
"E7","S1","Finding the range of some data",
"E7","S1","Describing situations involving chance",
"E7","S1","Identifying the possible outcomes of a situation",
"E7","S1","Recognising when the outcomes are equally likely",
"E7","S1","Calculating the probability of an event for equally likely outcomes",
"E7","S1","Interpreting various types of chart used in statistics",
"E7","S1","Drawing a compound bar chart",
"E7","S1","Drawing a frequency diagram for grouped data",
"E7","S1","Drawing a pie chart",
"E7","N3","Organising a calculation so you can work it out mentally",
"E7","N3","Interpreting a calculator display for the question's context",
"E7","N3","Using a calculator with fractions, mixed numbers and decimals",
"E7","N3","Using inverse operations to check a calculation",
"E7","N3","Using a calculator to find remainders after division",
"E7","N3","Multiplying and dividing using written methods",
"E7","GM2","Looking at different types of angles (acute, obtuse, reflex and right angles)",
"E7","GM2","Measuring angles",
"E7","GM2","Calculating angles",
"E7","GM2","Investigating properties of parallel lines",
"E7","GM2","Recognising line symmetry",
"E7","GM2","Recognising different types of quadrilateral",
"E7","GM2","Plotting coordinates in four quadrants",
"E7","N2","Working out calculations involving more than one operation",
"E7","N2","Working out calculations involving squares and square roots",
"E7","N2","Working out calculations involving brackets",
"E7","N2","Expressing one quantity as a fraction of another",
"E7","N2","Using equivalent fractions",
"E7","N2","Changing between improper fractions and mixed numbers",
"E7","N2","Writing fractions as decimals",
"E7","N2","Using your calculator for complex calculations",
"E7","N2","Using the calculator memory",
"E7","N2","Checking calculator answers by estimation",
"E7","N2","Representing a percentage on a diagram",
"E7","N2","Changing between fractions, decimals and percentages",
"E7","A2","Using a formula",
"E7","A2","Simplifying expressions in algebra",
"E7","A2","Building and simplifying a formula",
"E7","A2","Representing an equation using a flow diagram",
"E7","A2","Solving an equation using inverse operations",
"E7","A2","Solving an equation using algebra",
"E7","N1","Reading decimals from a number line",
"E7","N1","Comparing decimals",
"E7","N1","Multiplying and dividing decimals by 10, 100 and 1000",
"E7","N1","Rounding whole numbers and decimals",
"E7","N1","Finding multiples of a number",
"E7","N1","Finding all of the factors of a number",
"E7","N1","Exploring the connection between multiples and factors",
"E7","N1","Working with prime numbers",
"E7","N1","Using a number line for positive and negative numbers",
"E7","N1","Adding and subtracting using negative numbers",
"E7","N1","Multiplying and dividing negative numbers",
"E7","N1","Adding and subtracting decimals",
"E7","N1","Using addition and subtraction of decimals to solve problems",
"E7","N1","Working out square numbers and square roots",
"E7","N1","Exploring the connection between odd numbers and square numbers",
"E7","GM3","Approximating sizes of everyday objects in metric units",
"E7","GM3","Reading scales on a variety of instruments",
"E7","GM3","Converting between different metric units",
"E7","GM3","Constructing a net for a 3-D shape",
"E7","GM3","Finding the surface area of a 3-D shape",
"E7","GM3","The relationship between the number of vertices, faces and edges of a 3-D shape",
"E7","GM3","Recognising and naming different types of triangle",
"E7","GM3","Knowing which information is needed to define a triangle",
"E7","GM3","Constructing a triangle using SAS, ASA or SSS",
"E7","GM3","Drawing solid shapes on plain paper",
"E7","GM3","Drawing solid shapes on isometric paper",
"E7","GM1","Measuring to the nearest millimetre",
"E7","GM1","Estimating distances using appropriate units",
"E7","GM1","Calculating the perimeter of a figure",
"E7","GM1","Finding the areas of shapes based on rectangles",
"E7","GM1","Converting between square centimetres and square millimetres",
"E7","GM1","Converting between square centimetres and square metres",
"E7","GM1","Finding the area of a triangle",
"E7","GM1","Estimating the area of complex shapes",
"E7","A1","Using symbols to represent numbers",
"E7","A1","Exploring increasing and decreasing sequences",
"E7","A1","Using a term-to-term rule",
"E7","A1","Using a position-to-term rule",
"E7","A1","Using operations to make functions",
"E7","A1","Applying an operation and its inverse",
"E7","A1","Using algebra to describe rules",
"E7","A1","Using a mapping diagram",
"E8","S2","Analyse questions in a survey",
"E8","S2","Write an appropriate question for a survey",
"E8","S2","Understand what sampling is and when it can be biased",
"E8","S2","Draw and interpret pictograms",
"E8","S2","Draw and interpret bar charts",
"E8","S2","Draw a frequency table for grouped and ungrouped data",
"E8","S2","Draw and interpret pie charts",
"E8","S2","Draw and interpret scatter graphs",
"E8","S2","Draw a frequency polygon",
"E8","S3","Selecting an appropriate class interval for grouping continuous data",
"E8","S3","Preparing grouped frequency tables from lists of data",
"E8","S3","Interpreting more complex graphs",
"E8","S3","Giving possible reasons for the shapes of graphs",
"E8","S3","Justifying explanations using the evidence from calculations",
"E8","S3","Estimating the mean of grouped continuous data",
"E8","S3","Identifying the modal class of grouped data",
"E8","S3","Realising that the mean of grouped data is often very close to the mean of the raw data",
"E8","N4","Simplify a ratio ",
"E8","N4","Simplify a ratio that involves different units",
"E8","N4","Split a quantity into a ratio",
"E8","N4","Solve problems involving ratios",
"E8","N4","Write a ratio in the form 1 : n",
"E8","N4","Understand what is meant by direct proportion",
"E8","N4","Solve simple direct proportion problems",
"E8","N4","Understand the difference between direct and indirect proportion",
"E8","N4","Solve problems using the unitary  method",
"E8","N4","Solve problems involving recipes",
"E8","N4","Solve problems such as best buys and currency conversions",
"E8","GM4","Draw plans and elevations of 3D shapes",
"E8","GM4","Identify nets of cuboids",
"E8","GM4","Describe the difference between volume and surface area",
"E8","GM4","Calculate the volume  and surface area of a cube and cuboid",
"E8","GM4","Calculate the volume and surface area of a prism",
"E8","GM4","Convert between metric measurements",
"E8","GM4","Convert between measures of area mm2 to cm2 etc",
"E8","GM4","Convert between measure of volume mm3 to cm3 etc",
"E8","GM4","Solve problems involving area, volume and surface area",
"E8","A4","Substitute values into a formula",
"E8","A4","Plot coordinates in all four quadrants",
"E8","A4","Fill in a table of values",
"E8","A4","List coordinates from a table of values",
"E8","A4","Draw a linear graph",
"E8","A4","Understand what the word linear means",
"E8","A4","Draw the graphs of horizontal and vertical lines and the graph of y=x",
"E8","A4","Read values from a graph",
"E8","A4","Solve equations using a graph",
"E8","A4","Find the gradient of a straight line",
"E8","A4","Understand that parallel lines have the same gradient",
"E8","A4","Find the equation of a line when given a graph",
"E8","A3","Find missing values in simple worded problems such as I start with a number",
"E8","A3","Solve simple linear equations including ones with answers that are decimals or negatives or need to be left as fractions",
"E8","A3","Solve linear equations that have brackets",
"E8","A3","Solve simple equations that involve fractions",
"E8","A3","Solve equations with unknowns on both sides",
"E8","A3","Form and solve linear equations ",
"E8","S1","Find the mean, median, mode and range of a set of data",
"E8","S1","Solve problems with averages including using the mean in reverse",
"E8","S1","Understand that a probability can be written as a fraction, decimal or percentage",
"E8","S1","Calculate the probability of an event when outcomes are equally likely",
"E8","S1","Find the probability that an event does not occur",
"E8","S1","Use the fact that probability adds up to a whole  to solve problems",
"E8","N3","Use a calculator effectively",
"E8","N3","Use the SD button",
"E8","N3","Use the ANS button",
"E8","N3","Use square root, square, cube, powers, fractions on the calculator",
"E8","N3","Round to the nearest 10, 100, 1000",
"E8","N3","Round to a number of decimal places",
"E8","N3","Round to a number of significant figures",
"E8","N3","Estimate the answer to a calculation by rounding",
"E8","GM2","Draw and measure angles using a protractor",
"E8","GM2","Calculate missing angles on straight lines and around a point",
"E8","GM2","Calculate missing angles in triangles and quadrilaterals",
"E8","GM2","Identify corresponding, alternate and co-interior/supplementary angles in parallel lines",
"E8","GM2","Solve problems involving simple angle properties and angles in parallel lines",
"E8","GM2","Identify the sum of interior angles in a polygon given the number of sides",
"E8","GM2","Calculate the size of and interior and exterior angle in a regular polygon",
"E8","GM2","Solve problems involving angles in polygons",
"E8","N2","Understand that the line in a fraction means divide",
"E8","N2","Recall simple FDP conversions e.g. 0.5, 0.75, 0.25, 0.1",
"E8","N2","Convert between fractions, decimals and percentages",
"E8","N2","Find equivalent fractions",
"E8","N2","Write a set of fractions in order of size",
"E8","N2","Complete the four operations with fractions",
"E8","N2","Find a fraction of an amount",
"E8","N2","Change between mixed numbers and improper fractions",
"E8","N2","Complete the four operations with mixed numbers",
"E8","N2","Calculate a percentage of an amount without a calculator",
"E8","N2","Calculate a percentage of an amount using a decimal multiplier",
"E8","N2","Calculate percentage increase and decrease",
"E8","A2","Complete a mapping diagram",
"E8","A2","Find the input of a mapping diagram when given the output",
"E8","A2","Identify the term to term rule of a sequence",
"E8","A2","Continue a sequence using the term to term rule",
"E8","A2","Work out the nth term rule of a sequence",
"E8","A2","Use the nth term rule to calculate any term of a sequence",
"E8","A2","Solve problems involving sequences",
"E8","N1","Use written methods to multiply numbers with up to 3 digits",
"E8","N1","Use written methods to divide a large number by a single digit",
"E8","N1","Add and subtract negative numbers",
"E8","N1","Multiply and divide negative numbers",
"E8","N1","Order decimals from smallest to largest",
"E8","N1","Complete the four operations with decimals",
"E8","N1","Multiply and divide by powers of 10",
"E8","N1","Describe what is meant by the terms factor and multiple",
"E8","N1","List factors and multiples of a number",
"E8","N1","Find the HCF and LCM of two or more numbers",
"E8","N1","Describe what is meant by a prime number",
"E8","N1","Write a number as a product of its prime factors",
"E8","N1","Solve problems with HCF and LCM",
"E8","N1","Find the square and square root of a number",
"E8","N1","Find the cube and cube root of a number",
"E8","GM3","Reflect a shape  in an axis",
"E8","GM3","Reflect a shape in any line",
"E8","GM3","Rotate a shape around the origin",
"E8","GM3","Rotate a shape around any point",
"E8","GM3","Translate a shape by a description",
"E8","GM3","Translate a shape by a vector ",
"E8","GM3","Perform combinations of rotation, reflection and translation",
"E8","GM3","Enlarge a shape by a positive scale factor",
"E8","GM3","Enlarge a shape by a positive scale factor from a given point",
"E8","GM3","Describe a single transformation",
"E8","GM3","Identify when shapes are congruent ",
"E8","GM3","Find missing side lengths in similar shapes",
"E8","GM1","Use a ruler to accurately measure or draw a line",
"E8","GM1","Calculate the area of a rectangle and state the units",
"E8","GM1","Calculate the area of a triangle, and parallelogram",
"E8","GM1","Find the area of a trapezium",
"E8","GM1","Calculate the  perimeter of a rectangle and state the units",
"E8","GM1","Find the length of missing sides in compound shapes",
"E8","GM1","Calculate the area and perimeter of a compound shape ",
"E8","GM1","Convert between metric measurements including cm2 to m2 and cm3 to m3 ",
"E8","GM1","Solve problems involving area",
"E8","A1","Describe the basic rules of algebra, including a x a = a2, ab means a x b and 7a means 7 lots of a",
"E8","A1","Understand that a x a x a x a x a = a5 and can use index notation to simplify algebra",
"E8","A1","Describe what is meant by a like term",
"E8","A1","Simplify algebra by collecting like terms ",
"E8","A1","Substitute values into an expression",
"E8","A1","Expand a single bracket ",
"E8","A1","Expand and simplify two sets of single brackets",
"E8","A1","Apply the order of operations to a calculation correctly",
"E8","A1","Write an expression to describe a simple scenario",
"E8","A5","Understand what the different parts of a distance time graph mean",
"E8","A5","Interpret a distance time graph",
"E8","A5","Draw a distance time graph for a journey",
"E8","A5","Use a conversion graph",
"E8","GM5","Read and interpret different scales ",
"E8","GM5","Convert between different metric units",
"E8","GM5","Identify the number of edges, faces and vertices in a 3D shape",
"E8","GM5","Draw a net for a solid shape",
"E8","GM5","Identify types of triangles and know their properties",
"E8","GM5","Use a compass and protractor",
"E8","GM5","Construct triangles using the correct equipment",
"C7","A5","Understand what the different parts of a distance time graph mean",
"C7","A5","Interpret a distance time graph",
"C7","A5","Draw a distance time graph for a journey",
"C7","A5","Use a conversion graph",
"C7","GM5","Read and interpret different scales ",
"C7","GM5","Convert between different metric units",
"C7","GM5","Identify the number of edges, faces and vertices in a 3D shape",
"C7","GM5","Draw a net for a solid shape",
"C7","GM5","Identify types of triangles and know their properties",
"C7","GM5","Use a compass and protractor",
"C7","GM5","Construct triangles using the correct equipment",
"C7","S2","Analyse questions in a survey",
"C7","S2","Write an appropriate question for a survey",
"C7","S2","Understand what sampling is and when it can be biased",
"C7","S2","Draw and interpret pictograms",
"C7","S2","Draw and interpret bar charts",
"C7","S2","Draw a frequency table for grouped and ungrouped data",
"C7","S2","Draw and interpret pie charts",
"C7","S2","Draw and interpret scatter graphs",
"C7","N4","Simplify a ratio ",
"C7","N4","Simplify a ratio that involves different units",
"C7","N4","Split a quantity into a ratio",
"C7","N4","Solve problems involving ratios",
"C7","N4","Understand what is meant by direct proportion",
"C7","N4","Solve simple direct proportion problems",
"C7","N4","Solve problems using the unitary  method",
"C7","N4","Solve problems involving recipes",
"C7","GM4","Draw plans and elevations of 3D shapes",
"C7","GM4","Identify nets of cuboids",
"C7","GM4","Describe the difference between volume and surface area",
"C7","GM4","Calculate the volume  and surface area of a cube and cuboid",
"C7","GM4","Convert between metric measurements",
"C7","GM4","Solve problems involving area, volume and surface area",
"C7","A4","Substitute values into a formula",
"C7","A4","Plot coordinates in all four quadrants",
"C7","A4","Fill in a table of values",
"C7","A4","List coordinates from a table of values",
"C7","A4","Draw a linear graph",
"C7","A4","Understand what the word linear means",
"C7","A4","Draw the graphs of horizontal and vertical lines and the graph of y=x",
"C7","A4","Read values from a graph",
"C7","A3","Find missing values in simple worded problems such as I start with a number",
"C7","A3","Solve simple linear equations including ones with answers that are decimals or negatives or need to be left as fractions",
"C7","A3","Solve linear equations that have brackets",
"C7","S1","Find the mean, median, mode and range of a set of data",
"C7","S1","Solve problems with averages",
"C7","S1","Understand that a probability can be written as a fraction, decimal or percentage",
"C7","S1","Calculate the probability of an event when outcomes are equally likely",
"C7","S1","Find the probability that an event does not occur",
"C7","S1","Use the fact that probability adds up to a whole  to solve problems",
"C7","N3","Use a calculator effectively",
"C7","N3","Use the SD button",
"C7","N3","Use the ANS button",
"C7","N3","Use square root, square, cube, powers, fractions on the calculator",
"C7","N3","Round to the nearest 10, 100, 1000",
"C7","N3","Round to a number of decimal places",
"C7","N3","Estimate the answer to a calculation by rounding",
"C7","GM2","Name different 2D and 3D shapes and list their properties",
"C7","GM2","Name different types of angles and list their properties",
"C7","GM2","Use a protractor to draw and measure angles",
"C7","GM2","Calculate missing angles on straight lines and around a point",
"C7","GM2","Calculate missing angles in triangles and quadrilaterals",
"C7","GM2","Name different triangles and quadrilaterals and list their properties",
"C7","GM2","Recognise lines of symmetry in shapes",
"C7","GM2","Identify the order of rotational symmetry of a shape",
"C7","N2","Understand that the line in a fraction means divide",
"C7","N2","Recall simple FDP conversions e.g. 0.5, 0.75, 0.25, 0.1",
"C7","N2","Convert between fractions, decimals and percentages",
"C7","N2","Find equivalent fractions",
"C7","N2","Write a set of fractions in order of size",
"C7","N2","Add and subtract fractions",
"C7","N2","Calculate a percentage of an amount without a calculator",
"C7","N2","Calculate percentage increase and decrease",
"C7","N2","Find a fraction of an amount",
"C7","A2","Complete a mapping diagram",
"C7","A2","Find the input of a mapping diagram when given the output",
"C7","A2","Identify the term to term rule of a sequence",
"C7","A2","Continue a sequence using the term to term rule",
"C7","A2","Work out the nth term rule of a sequence",
"C7","A2","Use the nth term rule to calculate any term of a sequence",
"C7","A2","Solve problems involving sequences",
"C7","N1","Use written methods to multiply numbers with up to 3 digits",
"C7","N1","Use written methods to divide a large number by a single digit",
"C7","N1","Add and subtract negative numbers",
"C7","N1","Multiply and divide negative numbers",
"C7","N1","Order decimals from smallest to largest",
"C7","N1","Complete the four operations with decimals",
"C7","N1","Multiply and divide by powers of 10",
"C7","N1","Describe what is meant by the terms factor and multiple",
"C7","N1","List factors and multiples of a number",
"C7","N1","Find the HCF and LCM of two or more numbers",
"C7","N1","Describe what is meant by a prime number",
"C7","N1","Find the square and square root of a number",
"C7","N1","Find the cube and cube root of a number",
"C7","GM3","Reflect a shape  in an axis",
"C7","GM3","Reflect a shape in any line",
"C7","GM3","Rotate a shape around the origin",
"C7","GM3","Rotate a shape around any point",
"C7","GM3","Translate a shape by a description",
"C7","GM3","Translate a shape by a vector ",
"C7","GM3","Perform combinations of rotation, reflection and translation",
"C7","GM3","Describe a single transformation",
"C7","GM3","Identify when shapes are congruent ",
"C7","GM1","Use a ruler to accurately measure or draw a line",
"C7","GM1","Calculate the area of a rectangle and state the units",
"C7","GM1","Calculate the area of a triangle, and parallelogram",
"C7","GM1","Calculate the  perimeter of a rectangle and state the units",
"C7","GM1","Find the length of missing sides in compound shapes",
"C7","GM1","Calculate the area and perimeter of a compound shape ",
"C7","GM1","Convert between metric measurements",
"C7","A1","Describe the basic rules of algebra, including a x a = a2, ab means a x b and 7a means 7 lots of a",
"C7","A1","Understand that a x a x a x a x a = a5 and can use index notation to simplify algebra",
"C7","A1","Describe what is meant by a like term",
"C7","A1","Simplify algebra by collecting like terms ",
"C7","A1","Substitute values into an expression",
"C7","A1","Expand a single bracket ",
"C7","A1","Apply the order of operations to a calculation correctly",
"C7","A1","Write an expression to describe a simple scenario",
"S7","A5","Understand what the different parts of a distance time graph mean",
"S7","A5","Interpret a distance time graph",
"S7","A5","Draw a distance time graph for a journey",
"S7","A5","Use a conversion graph",
"S7","GM5","Read and interpret different scales ",
"S7","GM5","Convert between different metric units",
"S7","GM5","Identify the number of edges, faces and vertices in a 3D shape",
"S7","GM5","Draw a net for a solid shape",
"S7","GM5","Identify types of triangles and know their properties",
"S7","GM5","Use a compass and protractor",
"S7","GM5","Construct triangles using the correct equipment",
"S7","S2","Analyse questions in a survey",
"S7","S2","Write an appropriate question for a survey",
"S7","S2","Understand what sampling is and when it can be biased",
"S7","S2","Draw and interpret pictograms",
"S7","S2","Draw and interpret bar charts",
"S7","S2","Draw a frequency table for grouped and ungrouped data",
"S7","S2","Draw and interpret pie charts",
"S7","S2","Draw and interpret scatter graphs",
"S7","N4","Simplify a ratio ",
"S7","N4","Simplify a ratio that involves different units",
"S7","N4","Split a quantity into a ratio",
"S7","N4","Solve problems involving ratios",
"S7","N4","Understand what is meant by direct proportion",
"S7","N4","Solve simple direct proportion problems",
"S7","N4","Solve problems using the unitary  method",
"S7","N4","Solve problems involving recipes",
"S7","GM4","Draw plans and elevations of 3D shapes",
"S7","GM4","Identify nets of cuboids",
"S7","GM4","Describe the difference between volume and surface area",
"S7","GM4","Calculate the volume  and surface area of a cube and cuboid",
"S7","GM4","Convert between metric measurements",
"S7","GM4","Solve problems involving area, volume and surface area",
"S7","A4","Substitute values into a formula",
"S7","A4","Plot coordinates in all four quadrants",
"S7","A4","Fill in a table of values",
"S7","A4","List coordinates from a table of values",
"S7","A4","Draw a linear graph",
"S7","A4","Understand what the word linear means",
"S7","A4","Draw the graphs of horizontal and vertical lines and the graph of y=x",
"S7","A4","Read values from a graph",
"S7","A3","Find missing values in simple worded problems such as I start with a number",
"S7","A3","Solve simple linear equations including ones with answers that are decimals or negatives or need to be left as fractions",
"S7","A3","Solve linear equations that have brackets",
"S7","S1","Find the mean, median, mode and range of a set of data",
"S7","S1","Solve problems with averages",
"S7","S1","Understand that a probability can be written as a fraction, decimal or percentage",
"S7","S1","Calculate the probability of an event when outcomes are equally likely",
"S7","S1","Find the probability that an event does not occur",
"S7","S1","Use the fact that probability adds up to a whole  to solve problems",
"S7","N3","Use a calculator effectively",
"S7","N3","Use the SD button",
"S7","N3","Use the ANS button",
"S7","N3","Use square root, square, cube, powers, fractions on the calculator",
"S7","N3","Round to the nearest 10, 100, 1000",
"S7","N3","Round to a number of decimal places",
"S7","N3","Estimate the answer to a calculation by rounding",
"S7","GM2","Name different 2D and 3D shapes and list their properties",
"S7","GM2","Name different types of angles and list their properties",
"S7","GM2","Use a protractor to draw and measure angles",
"S7","GM2","Calculate missing angles on straight lines and around a point",
"S7","GM2","Calculate missing angles in triangles and quadrilaterals",
"S7","GM2","Name different triangles and quadrilaterals and list their properties",
"S7","GM2","Recognise lines of symmetry in shapes",
"S7","GM2","Identify the order of rotational symmetry of a shape",
"S7","N2","Understand that the line in a fraction means divide",
